Name	City	Zip	Score	Non-Smoking	Date	Street
WALGREENS # 6956	HUNTSVILLE	35810	94	Yes	4/9/2014	3500 Mastin Lake Road
WALGREENS # 6979	HUNTSVILLE	35802	94	Yes	7/23/2014	2784 Carl T. Jones Drive SE
WALMART # 2690 (RETAIL)	MADISON	35758	94	Yes	1/29/2015	8650 Madison Blvd
WALMART # 332 (RETAIL)	HUNTSVILLE	35806	97	Yes	6/4/2014	6140-A University Dr
WALMART # 375 (RETAIL)	HUNTSVILLE	35801	98	Yes	12/8/2014	3031 Memorial Pkwy, SW
WALMART # 433 (RETAIL)	HUNTSVILLE	35810	97	Yes	3/6/2014	2200 Sparkman Dr
WALMART # 434 (RETAIL)	HUNTSVILLE	35802	93	Yes	8/28/2014	11610 S. Memorial Pkwy
WALMART # 5197 (RETAIL)	HUNTSVILLE	35763	96	Yes	7/22/2014	330 Sutton Rd
WALMART # 5703 (RETAIL)	HUNTSVILLE	35758	94		1/28/2015	8580 Highway 72 West
WALMART NEIGHBORHOOD MARKET # 3185 (RETAIL)	HUNTSVILLE	35801	99	Yes	12/19/2014	4226 Oakwood Ave, NW
WALMART NEIGHBORHOOD MARKET # 7342 (RETAIL)	MADISON	35758	99		1/30/2015	7140 Wall Triana Highway
Y & J MART	HUNTSVILLE	35816	94	Yes	6/30/2014	600 Jordan Lane Suite 5
