Name	City	Zip	Score	Non-Smoking	Date	Street
RIDGECREST ELEMENTARY	HUNTSVILLE	35805	97	Yes	2/12/2015	3505 Cerro Vista
RIVERTON ELEMENTARY	HUNTSVILLE	35811	95	Yes	2/19/2015	2615 Winchester Road
RIVERTON INTERMEDIATE SCHOOL	HUNTSVILLE	35811	97	Yes	2/27/2015	399 Homer Nance Road
ROLLING HILLS ELEMENTARY	HUNTSVILLE	35810	94	Yes	2/6/2015	2901 Hilltop Terrace
SPARKMAN HIGH SCHOOL	HARVEST	35749	97	Yes	2/9/2015	2616 Jeff Road
SPARKMAN MIDDLE SCHOOL	TONEY	35773	98	Yes	2/10/2015	2697 Carter Gin Road
SPARKMAN NINTH GRADE SCHOOL	HARVEST	35749	99	Yes	2/9/2015	2680 Jeff Road
UNIVERSITY PLACE ELEMENTARY	HUNTSVILLE	35816	97	Yes	2/10/2015	4503 University Drive
WALNUT GROVE SCHOOL	NEW MARKET	35761	100	Yes	2/12/2015	1961 Joe Quick Road
WEATHERLY HEIGHTS ELEMENTARY	HUNTSVILLE	35803	97	Yes	2/19/2015	1307 Canstatt Drive
WEST MADISON ELEMENTARY	MADISON	35758	97	Yes	2/23/2015	4976 Wall Triana Hwy
WESTLAWN MIDDLE	HUNTSVILLE	35805	98	Yes	2/17/2015	4217 9th Avenue
WHITESBURG ELEMENTARY/MIDDLE	HUNTSVILLE	35802	99	Yes	2/13/2015	107 Sanders Road
WILLIAMS ELEMENTARY/MIDDLE	HUNTSVILLE	35824	96	Yes	2/18/2015	155 Barren Fork Road
