Name	City	Zip	Score	Non-Smoking	Date	Street
VON BRAUN CENTER ARENA BEVERAGE NORTH	HUNTSVILLE	35801	96	Yes	6/26/2014	700 Monroe St
VON BRAUN CENTER ARENA BEVERAGE SOUTH	HUNTSVILLE	35801	96	Yes	6/26/2014	700 Monroe Street
WALMART # 2690 (BAKERY)	MADISON	35758	97	Yes	10/30/2014	8650 Madison Blvd
WALMART # 5703 (PRODUCE)	MADISON	35758	98		12/12/2014	8580 Highway 72 West
WALMART NEIGHBORHOOD MARKET # 3185 (BAKERY)	HUNTSVILLE	35801	99	Yes	12/19/2014	4226 Oakwood Ave, NW
WALMART NEIGHBORHOOD MARKET # 7342 (BAKERY)	MADISON	35758	99		1/30/2015	7140 Wall Triana Highway
WHAT'S POPP'N	HUNTSVILLE	35802	100	Yes	3/4/2015	975-G Airport Rd
WHISTLE STOP SWEET SHOP	MADISON	35758	98		7/23/2014	104 Main Street
WHITESBURG BAPTIST CAFÉ 246	HUNTSVILLE	35802	98		9/5/2014	6806 Whitesburg Drive
WHITESBURG BAPTIST CONC-S. CAMPUS	HUNTSVILLE	35802	97	Yes	9/12/2014	7300 Whitesburg Drive
ZEN BERI FROZEN YOGURT	MADISON	35758	97	Yes	4/23/2014	8141-E Hwy 72 W
