Name	City	Zip	Score	Non-Smoking	Date	Street
KROGER STORE # 505 (PRODUCE)	MADISON	35758	94	Yes	12/4/2014	300 Hughes Rd
KROGER STORE # 508 (PRODUCE)	HUNTSVILLE	35810	91	Yes	10/10/2014	2110 Oakwood Ave
KROGER STORE # 517 (PRODUCE)	HUNTSVILLE	35811	98	Yes	11/20/2014	6070 Moores Mill Road
KROGER STORE # 552 (PRODUCE)	HUNTSVILLE	35801	98	Yes	2/2/2015	2009 Drake Ave
KROGER STORE # 677 (PRODUCE)	HUNTSVILLE	35806	96		12/19/2014	7090 University Drive
KROGER STORE # 849 (PRODUCE)	HUNTSVILLE	35802	95	Yes	9/8/2014	8404 S. Memorial Pkwy
KRUPA FOOD MART INC. DBA CIRCLE C # 80	HUNTSVILLE	35803	90	Yes	1/15/2015	13001 S. Memorial Pkwy
L & N TEXACO	HUNTSVILLE	35805	94	Yes	1/16/2015	4200 Bob Wallace Avenue
LA FRONTERA	HUNTSVILLE	35805	93	Yes	9/5/2014	2315-C  Jordan Lane
LA QUINTA INN # 722	HUNTSVILLE	35816	92	Yes	1/28/2015	4870 University Drive
LA QUINTA INN # 8008 (BREAKFAST)	HUNTSVILLE	35816	94	Yes	10/7/2014	3141 University Drive
LA QUINTA INN & SUITES CONTINENTAL BREAKFAST	MADISON	35758	98	Yes	12/19/2014	105 Westchester Dr.
LA QUINTA INN & SUITES MADISON SQ  MALL # 4033	HUNTSVILLE	35816	99	Yes	11/12/2014	4890 University Drive N.W.
LEE HIGH BASEBALL	HUNTSVILLE	35811	98	Yes	2/17/2015	2500 Meridian Street
LEE HIGH SCHOOL-BASKETBALL CONCESS.	HUNTSVILLE	35811	98	Yes	11/7/2014	2500 Meridian Street
LEGACY CHILD DEVELOPMENT ACADEMY, LLC	HUNTSVILLE	35810	91	Yes	10/28/2014	2012 Pulaski Pike
LIBERTY 2000	HUNTSVILLE	35811	97	No	7/9/2014	1655 Winchester Road
LIBERTY 2000 (NJN INC)	HUNTSVILLE	35806	87	Yes	5/20/2014	497 Dan Tibbs Rd
LIBERTY MIDDLE SCHOOL BASKETBALL CONCESSION	MADISON	35758	96	Yes	11/10/2014	281 Dock Murphy Drive
LIBERTY MIDDLE SCHOOL OUTDOOR CONCESSION	MADISON	35758	95	Yes	2/12/2015	281 Dock Murphy Drive
LIQUOR EXPRESS	HUNTSVILLE	35801	96		4/14/2014	1802 University Drive
LITTLE CAESARS PIZZA	HUNTSVILLE	35802	94	Yes	1/21/2015	7900 Bailey Cove Road Suite T
